TRINITY_DN70724_c2_g1	K11394
TRINITY_DN71766_c13_g1	K11165
TRINITY_DN66618_c6_g1	K18081
TRINITY_DN62302_c0_g1	K20795
TRINITY_DN64757_c0_g2	K11865
TRINITY_DN48603_c0_g1	K01047
TRINITY_DN70295_c7_g3	K19674
TRINITY_DN70908_c7_g1	K15278
TRINITY_DN61113_c0_g1	K03873
TRINITY_DN57257_c0_g1	K21396
TRINITY_DN70300_c1_g1	K04612
TRINITY_DN61029_c1_g1	K04909
TRINITY_DN66163_c5_g3	K09502
TRINITY_DN61718_c0_g1	K13136
TRINITY_DN67606_c9_g1	K24047
TRINITY_DN67290_c3_g1	K11262
TRINITY_DN68392_c1_g1	K00710
TRINITY_DN107522_c0_g1	K10408
TRINITY_DN69510_c14_g1	K12879
TRINITY_DN55966_c0_g1	K04097
TRINITY_DN71105_c0_g1	K18663
TRINITY_DN72283_c0_g1	K25165
TRINITY_DN70767_c3_g1	K01062
TRINITY_DN70434_c5_g1	K18384
TRINITY_DN107252_c0_g1	K15255
TRINITY_DN68000_c5_g4	K13755
TRINITY_DN67824_c0_g2	K25780
TRINITY_DN71018_c4_g1	K14399
TRINITY_DN64710_c0_g1	K07933
TRINITY_DN56965_c1_g1	K13196
TRINITY_DN72245_c3_g1	K06560
TRINITY_DN70621_c9_g1	K19914
TRINITY_DN84382_c0_g1	K01279
TRINITY_DN65154_c0_g1	K04682
TRINITY_DN66286_c2_g1	K04223
TRINITY_DN69334_c7_g2	K15360
TRINITY_DN63884_c1_g1	K24523
TRINITY_DN68827_c2_g1	K19756
TRINITY_DN70515_c4_g1	K07942
TRINITY_DN61344_c0_g1	K16449
TRINITY_DN68414_c2_g2	K05126
TRINITY_DN70939_c11_g1	K25857
TRINITY_DN67617_c1_g1	K09448
TRINITY_DN70297_c0_g1	K24999
TRINITY_DN99379_c0_g1	K04612
TRINITY_DN68638_c3_g1	K19499
TRINITY_DN56811_c1_g1	K04204
TRINITY_DN71253_c8_g1	K13862
TRINITY_DN70290_c6_g1	K08187
TRINITY_DN67812_c2_g4	K21440
TRINITY_DN69432_c5_g1	K08876
TRINITY_DN69893_c0_g1	K25552
TRINITY_DN70556_c7_g3	K20628
TRINITY_DN66931_c3_g1	K11838
TRINITY_DN71656_c2_g1	K17341
TRINITY_DN71750_c0_g1	K18592
TRINITY_DN5074_c0_g1	K07378
TRINITY_DN17941_c0_g1	K18496
TRINITY_DN65617_c0_g1	K17255
TRINITY_DN71510_c8_g2	K17932
TRINITY_DN68962_c4_g1	K15688
TRINITY_DN65611_c0_g2	K04615
TRINITY_DN59239_c0_g2	K00408
TRINITY_DN68759_c7_g1	K02187
TRINITY_DN68862_c6_g1	K02957
TRINITY_DN67746_c4_g1	K04362
TRINITY_DN64728_c6_g2	K10771
TRINITY_DN35883_c0_g2	K09502
TRINITY_DN72162_c3_g1	K07375
TRINITY_DN70714_c6_g1	K21754
TRINITY_DN66550_c0_g1	K08187
TRINITY_DN69207_c6_g1	K14405
TRINITY_DN68863_c4_g2	K26404
TRINITY_DN67327_c3_g1	K04984
TRINITY_DN70508_c4_g1	K14611
TRINITY_DN63432_c0_g1	K16622
TRINITY_DN70154_c1_g1	K12172
TRINITY_DN70415_c16_g2	K23567
TRINITY_DN67488_c4_g1	K08180
TRINITY_DN57395_c1_g1	K04612
TRINITY_DN69130_c8_g1	K04615
TRINITY_DN69818_c8_g1	K17346
TRINITY_DN65397_c0_g1	K00008
TRINITY_DN62146_c2_g1	K08489
TRINITY_DN69873_c0_g1	K17593
TRINITY_DN71054_c4_g1	K12835
TRINITY_DN66221_c0_g1	K25773
TRINITY_DN77754_c0_g1	K25701
TRINITY_DN67359_c0_g2	K13982
TRINITY_DN63242_c0_g1	K00411
TRINITY_DN69252_c5_g1	K09175
TRINITY_DN63980_c0_g1	K12825
TRINITY_DN63824_c0_g1	K24735
TRINITY_DN65908_c1_g1	K07870
TRINITY_DN63448_c3_g2	K09223
TRINITY_DN70134_c0_g1	K11138
TRINITY_DN64064_c1_g1	K19511
TRINITY_DN62385_c0_g1	K06560
TRINITY_DN41137_c0_g1	K08375
TRINITY_DN71228_c0_g1	K16484
TRINITY_DN71065_c1_g1	K05175
TRINITY_DN63969_c4_g1	K08066
TRINITY_DN70034_c4_g1	K20296
TRINITY_DN65794_c0_g1	K15447
TRINITY_DN61328_c0_g1	K04150
TRINITY_DN68398_c6_g1	K12616
TRINITY_DN69421_c11_g2	K17083
TRINITY_DN69888_c8_g1	K05749
TRINITY_DN63475_c0_g1	K09219
TRINITY_DN66030_c4_g1	K04615
TRINITY_DN68175_c11_g1	K15421
TRINITY_DN59447_c0_g1	K09585
TRINITY_DN66504_c0_g1	K25698
TRINITY_DN63753_c0_g1	K03108
TRINITY_DN65563_c1_g1	K16471
TRINITY_DN70155_c3_g3	K26403
TRINITY_DN64741_c3_g1	K23958
TRINITY_DN65730_c1_g1	K17418
TRINITY_DN67153_c0_g1	K03129
TRINITY_DN62583_c2_g2	K04201
TRINITY_DN70406_c2_g1	K15255
TRINITY_DN70402_c1_g3	K12035
TRINITY_DN63008_c0_g1	K18666
TRINITY_DN53822_c0_g1	K24683
TRINITY_DN66926_c1_g1	K03068
TRINITY_DN71431_c6_g1	K03068
TRINITY_DN70473_c7_g1	K11095
TRINITY_DN61394_c0_g1	K06096
TRINITY_DN60606_c1_g1	K01311
TRINITY_DN69647_c8_g2	K17574
TRINITY_DN74349_c0_g1	K12668
TRINITY_DN66168_c4_g1	K12459
TRINITY_DN67185_c8_g1	K01022
TRINITY_DN71169_c1_g4	K25079
TRINITY_DN66337_c2_g1	K02883
TRINITY_DN63254_c0_g1	K04266
TRINITY_DN45399_c3_g1	K14611
TRINITY_DN69138_c9_g1	K19007
TRINITY_DN65779_c6_g1	K00522
TRINITY_DN63806_c0_g2	K13707
TRINITY_DN69932_c5_g1	K05129
TRINITY_DN71959_c2_g1	K25437
TRINITY_DN40833_c0_g1	K01011
TRINITY_DN69820_c1_g1	K04988
TRINITY_DN64335_c0_g1	K11417
TRINITY_DN66678_c4_g3	K00809
TRINITY_DN33084_c0_g1	K02877
TRINITY_DN70407_c3_g1	K12755
TRINITY_DN70987_c0_g2	K11989
TRINITY_DN71308_c3_g1	K00213
TRINITY_DN66928_c0_g1	K19366
TRINITY_DN65477_c2_g1	K02577
TRINITY_DN64638_c1_g1	K25866
TRINITY_DN50884_c0_g2	K04230
TRINITY_DN70614_c8_g1	K16172
TRINITY_DN69037_c6_g1	K03574
TRINITY_DN54335_c0_g1	K10313
TRINITY_DN67879_c2_g1	K05463
TRINITY_DN68273_c6_g1	K11495
TRINITY_DN59198_c1_g1	K00826
TRINITY_DN64180_c0_g1	K23115
TRINITY_DN62022_c2_g1	K06072
TRINITY_DN67216_c13_g1	K04267
TRINITY_DN67068_c12_g1	K24680
TRINITY_DN64334_c1_g1	K17569
TRINITY_DN69138_c8_g1	K00911
TRINITY_DN33280_c0_g1	K05863
TRINITY_DN65323_c0_g1	K06515
TRINITY_DN62847_c4_g1	K05195
TRINITY_DN69131_c3_g1	K00288
TRINITY_DN71756_c8_g1	K16727
TRINITY_DN61892_c0_g1	K18161
TRINITY_DN69243_c1_g2	K04988
TRINITY_DN70627_c6_g1	K01487
TRINITY_DN69096_c5_g1	K11804
TRINITY_DN68056_c0_g1	K11850
TRINITY_DN40561_c0_g1	K11885
TRINITY_DN63583_c0_g1	K08375
TRINITY_DN69545_c6_g1	K06537
TRINITY_DN68953_c1_g2	K23332
TRINITY_DN70930_c5_g1	K23400
TRINITY_DN71497_c4_g1	K13208
TRINITY_DN68553_c0_g1	K17635
TRINITY_DN66266_c1_g1	K04358
TRINITY_DN57223_c0_g1	K26238
TRINITY_DN60594_c5_g1	K04150
TRINITY_DN68750_c4_g1	K09675
TRINITY_DN70443_c14_g3	K23966
TRINITY_DN69504_c5_g1	K14720
TRINITY_DN53524_c0_g2	K23820
TRINITY_DN64027_c0_g1	K04194
TRINITY_DN53627_c0_g1	K09067
TRINITY_DN52361_c0_g1	K22866
TRINITY_DN71890_c2_g1	K03253
TRINITY_DN69121_c9_g1	K05925
TRINITY_DN69860_c1_g2	K11315
TRINITY_DN66872_c1_g1	K25493
TRINITY_DN67252_c0_g1	K11492
TRINITY_DN56343_c1_g1	K04515
TRINITY_DN63968_c0_g1	K13748
TRINITY_DN62637_c0_g1	K03008
TRINITY_DN71831_c7_g1	K05673
TRINITY_DN69844_c8_g3	K09323
TRINITY_DN71868_c12_g2	K15711
TRINITY_DN63746_c1_g1	K14851
TRINITY_DN63657_c0_g1	K18403
TRINITY_DN68986_c5_g1	K16060
TRINITY_DN65907_c2_g1	K01298
TRINITY_DN67696_c4_g1	K21879
TRINITY_DN70679_c4_g8	K12626
TRINITY_DN65549_c0_g1	K24733
TRINITY_DN71959_c1_g1	K25437
TRINITY_DN66342_c0_g2	K10395
TRINITY_DN15058_c0_g1	K14634
TRINITY_DN72174_c4_g1	K18932
TRINITY_DN69601_c3_g6	K11150
TRINITY_DN63799_c3_g1	K05728
TRINITY_DN62699_c1_g1	K26437
TRINITY_DN66150_c0_g2	K24725
TRINITY_DN72061_c5_g2	K10645
TRINITY_DN69218_c7_g1	K12380
TRINITY_DN70548_c6_g2	K00106
TRINITY_DN65335_c1_g1	K14844
TRINITY_DN69365_c3_g1	K14776
TRINITY_DN62940_c0_g1	K05696
TRINITY_DN61916_c4_g1	K10997
TRINITY_DN85735_c0_g1	K12890
TRINITY_DN65302_c2_g1	K14648
TRINITY_DN71490_c1_g8	K08855
TRINITY_DN81716_c0_g1	K04382
TRINITY_DN69567_c8_g1	K17888
TRINITY_DN65121_c0_g1	K10885
TRINITY_DN65103_c0_g1	K12384
TRINITY_DN63085_c0_g1	K06693
TRINITY_DN41923_c0_g1	K02132
TRINITY_DN35685_c0_g3	K02957
TRINITY_DN70489_c0_g1	K03992
TRINITY_DN64923_c2_g1	K26546
