TRINITY_DN17573_c0_g1_i1	TRINITY_DN17573_c0_g1
TRINITY_DN17547_c0_g1_i1	TRINITY_DN17547_c0_g1
TRINITY_DN59089_c0_g1_i1	TRINITY_DN59089_c0_g1
TRINITY_DN59004_c1_g1_i1	TRINITY_DN59004_c1_g1
TRINITY_DN59004_c1_g1_i2	TRINITY_DN59004_c1_g1
TRINITY_DN59065_c0_g1_i1	TRINITY_DN59065_c0_g1
TRINITY_DN59041_c1_g1_i1	TRINITY_DN59041_c1_g1
TRINITY_DN59095_c0_g1_i1	TRINITY_DN59095_c0_g1
TRINITY_DN59095_c0_g2_i1	TRINITY_DN59095_c0_g2
TRINITY_DN59016_c0_g1_i1	TRINITY_DN59016_c0_g1
TRINITY_DN59028_c0_g1_i1	TRINITY_DN59028_c0_g1
TRINITY_DN59043_c1_g1_i1	TRINITY_DN59043_c1_g1
TRINITY_DN59043_c2_g1_i1	TRINITY_DN59043_c2_g1
TRINITY_DN59043_c2_g2_i1	TRINITY_DN59043_c2_g2
TRINITY_DN59024_c0_g2_i1	TRINITY_DN59024_c0_g2
TRINITY_DN59002_c0_g2_i1	TRINITY_DN59002_c0_g2
TRINITY_DN59002_c0_g3_i1	TRINITY_DN59002_c0_g3
TRINITY_DN59002_c1_g1_i1	TRINITY_DN59002_c1_g1
TRINITY_DN59002_c1_g2_i1	TRINITY_DN59002_c1_g2
TRINITY_DN59054_c0_g1_i1	TRINITY_DN59054_c0_g1
TRINITY_DN59088_c1_g1_i1	TRINITY_DN59088_c1_g1
TRINITY_DN59042_c0_g1_i1	TRINITY_DN59042_c0_g1
TRINITY_DN59091_c0_g1_i2	TRINITY_DN59091_c0_g1
TRINITY_DN59087_c0_g2_i1	TRINITY_DN59087_c0_g2
TRINITY_DN59019_c0_g1_i1	TRINITY_DN59019_c0_g1
TRINITY_DN59019_c0_g2_i1	TRINITY_DN59019_c0_g2
TRINITY_DN59019_c1_g1_i1	TRINITY_DN59019_c1_g1
TRINITY_DN59060_c0_g1_i1	TRINITY_DN59060_c0_g1
TRINITY_DN59099_c0_g1_i1	TRINITY_DN59099_c0_g1
TRINITY_DN59076_c0_g1_i1	TRINITY_DN59076_c0_g1
TRINITY_DN59061_c0_g1_i1	TRINITY_DN59061_c0_g1
TRINITY_DN59048_c0_g1_i1	TRINITY_DN59048_c0_g1
TRINITY_DN59003_c0_g1_i1	TRINITY_DN59003_c0_g1
TRINITY_DN59080_c0_g2_i1	TRINITY_DN59080_c0_g2
TRINITY_DN59080_c0_g2_i2	TRINITY_DN59080_c0_g2
TRINITY_DN59080_c0_g2_i3	TRINITY_DN59080_c0_g2
TRINITY_DN59080_c1_g1_i1	TRINITY_DN59080_c1_g1
TRINITY_DN59080_c2_g1_i1	TRINITY_DN59080_c2_g1
TRINITY_DN59080_c4_g1_i1	TRINITY_DN59080_c4_g1
TRINITY_DN59025_c1_g1_i1	TRINITY_DN59025_c1_g1
TRINITY_DN59079_c0_g1_i1	TRINITY_DN59079_c0_g1
TRINITY_DN59098_c0_g1_i1	TRINITY_DN59098_c0_g1
TRINITY_DN59098_c1_g1_i1	TRINITY_DN59098_c1_g1
TRINITY_DN59098_c2_g1_i1	TRINITY_DN59098_c2_g1
TRINITY_DN59000_c0_g1_i1	TRINITY_DN59000_c0_g1
TRINITY_DN34712_c0_g1_i1	TRINITY_DN34712_c0_g1
TRINITY_DN34783_c0_g1_i1	TRINITY_DN34783_c0_g1
TRINITY_DN34768_c1_g1_i1	TRINITY_DN34768_c1_g1
TRINITY_DN34784_c0_g1_i1	TRINITY_DN34784_c0_g1
TRINITY_DN34717_c0_g1_i1	TRINITY_DN34717_c0_g1
TRINITY_DN34761_c0_g1_i1	TRINITY_DN34761_c0_g1
TRINITY_DN34764_c0_g1_i1	TRINITY_DN34764_c0_g1
TRINITY_DN34708_c0_g1_i1	TRINITY_DN34708_c0_g1
TRINITY_DN34718_c0_g1_i1	TRINITY_DN34718_c0_g1
TRINITY_DN34789_c0_g1_i1	TRINITY_DN34789_c0_g1
TRINITY_DN34720_c0_g1_i1	TRINITY_DN34720_c0_g1
TRINITY_DN34762_c0_g1_i1	TRINITY_DN34762_c0_g1
TRINITY_DN34773_c2_g1_i1	TRINITY_DN34773_c2_g1
TRINITY_DN34739_c0_g1_i1	TRINITY_DN34739_c0_g1
TRINITY_DN5338_c0_g1_i1	TRINITY_DN5338_c0_g1
TRINITY_DN60054_c0_g1_i1	TRINITY_DN60054_c0_g1
TRINITY_DN60028_c0_g1_i1	TRINITY_DN60028_c0_g1
TRINITY_DN60041_c1_g1_i1	TRINITY_DN60041_c1_g1
TRINITY_DN60083_c1_g1_i1	TRINITY_DN60083_c1_g1
TRINITY_DN60083_c1_g1_i2	TRINITY_DN60083_c1_g1
TRINITY_DN60053_c0_g1_i1	TRINITY_DN60053_c0_g1
TRINITY_DN60037_c0_g1_i1	TRINITY_DN60037_c0_g1
TRINITY_DN60005_c1_g1_i1	TRINITY_DN60005_c1_g1
TRINITY_DN60005_c1_g2_i1	TRINITY_DN60005_c1_g2
TRINITY_DN60035_c0_g1_i1	TRINITY_DN60035_c0_g1
TRINITY_DN60079_c0_g1_i1	TRINITY_DN60079_c0_g1
