TRINITY_DN68749_c2_g1	K11668
TRINITY_DN71727_c2_g2	K05858
TRINITY_DN73406_c1_g2	K23860
TRINITY_DN26271_c0_g1	K23908
TRINITY_DN71571_c1_g1	K10408
TRINITY_DN63140_c1_g1	K13864
TRINITY_DN72856_c10_g1	K05093
TRINITY_DN70456_c6_g2	K08632
TRINITY_DN56103_c0_g2	K17985
TRINITY_DN71488_c0_g1	K01958
TRINITY_DN72812_c12_g1	K03870
TRINITY_DN66326_c1_g1	K12035
TRINITY_DN71564_c5_g1	K06062
TRINITY_DN66768_c1_g1	K22754
TRINITY_DN71080_c13_g1	K11436
TRINITY_DN6266_c0_g1	K19612
TRINITY_DN61845_c1_g1	K22679
TRINITY_DN73646_c2_g6	K08498
TRINITY_DN71163_c10_g1	K12373
TRINITY_DN69417_c6_g6	K01456
TRINITY_DN2949_c0_g2	K04806
TRINITY_DN71047_c6_g2	K08202
TRINITY_DN74273_c4_g2	K09188
TRINITY_DN74044_c5_g1	K11275
TRINITY_DN70931_c6_g11	K11141
TRINITY_DN71532_c5_g2	K23800
TRINITY_DN64981_c1_g1	K23490
TRINITY_DN65749_c3_g7	K09577
TRINITY_DN64306_c2_g2	K05901
TRINITY_DN72805_c3_g1	K09223
TRINITY_DN69735_c12_g2	K23712
TRINITY_DN73147_c0_g1	K10866
TRINITY_DN70676_c4_g2	K13864
TRINITY_DN70041_c0_g1	K03654
TRINITY_DN65246_c0_g1	K09349
TRINITY_DN69873_c0_g1	K11644
TRINITY_DN66605_c1_g1	K04593
TRINITY_DN73286_c10_g1	K10685
TRINITY_DN69284_c0_g1	K16803
TRINITY_DN69764_c1_g1	K02603
TRINITY_DN67646_c1_g1	K06834
TRINITY_DN72869_c5_g2	K06841
TRINITY_DN50993_c1_g1	K04988
TRINITY_DN74406_c6_g1	K10049
TRINITY_DN70595_c1_g1	K12857
TRINITY_DN73113_c5_g1	K11150
TRINITY_DN70443_c13_g6	K12494
TRINITY_DN70965_c5_g1	K12878
TRINITY_DN72736_c3_g1	K24759
TRINITY_DN65517_c0_g3	K00182
TRINITY_DN74173_c4_g1	K00128
TRINITY_DN71975_c6_g2	K09098
TRINITY_DN73127_c10_g8	K17592
TRINITY_DN87577_c0_g1	K09343
TRINITY_DN43038_c0_g1	K10389
TRINITY_DN72477_c10_g1	K16739
TRINITY_DN73720_c5_g1	K18274
TRINITY_DN67983_c1_g1	K10737
TRINITY_DN73080_c9_g1	K17617
TRINITY_DN71547_c7_g1	K25838
TRINITY_DN71806_c3_g4	K17784
TRINITY_DN67047_c1_g1	K20360
TRINITY_DN71931_c5_g1	K20183
TRINITY_DN55906_c1_g1	K01939
TRINITY_DN63463_c1_g1	K04220
TRINITY_DN73065_c3_g6	K01904
TRINITY_DN73399_c0_g2	K02365
TRINITY_DN58828_c0_g2	K07754
TRINITY_DN71428_c4_g1	K19719
TRINITY_DN67619_c2_g1	K04746
TRINITY_DN74233_c2_g2	K14735
TRINITY_DN98177_c0_g1	K02894
TRINITY_DN50158_c1_g1	K13753
TRINITY_DN71427_c1_g1	K19872
TRINITY_DN63147_c0_g1	K04988
TRINITY_DN72317_c0_g1	K05662
TRINITY_DN72375_c7_g1	K00864
TRINITY_DN70479_c10_g1	K20064
TRINITY_DN71026_c1_g2	K06058
TRINITY_DN63280_c0_g2	K22919
TRINITY_DN72132_c5_g2	K10185
TRINITY_DN71752_c6_g1	K12647
TRINITY_DN73367_c5_g2	K10266
TRINITY_DN71220_c1_g6	K23963
TRINITY_DN72223_c2_g1	K13985
TRINITY_DN72622_c2_g2	K06768
TRINITY_DN71088_c8_g1	K23088
TRINITY_DN63924_c1_g1	K17085
TRINITY_DN54063_c0_g1	K06109
TRINITY_DN70229_c0_g1	K02577
TRINITY_DN68603_c0_g1	K22754
TRINITY_DN73669_c8_g1	K04892
TRINITY_DN72376_c9_g1	K01673
TRINITY_DN65473_c1_g2	K00472
TRINITY_DN71788_c5_g1	K03125
TRINITY_DN42307_c0_g2	K02132
TRINITY_DN74238_c3_g1	K26434
TRINITY_DN68251_c0_g1	K11985
TRINITY_DN68352_c1_g1	K03685
TRINITY_DN72212_c5_g4	K08180
TRINITY_DN46800_c0_g1	K04150
TRINITY_DN71249_c0_g1	K08375
TRINITY_DN64259_c1_g1	K04497
TRINITY_DN70924_c10_g2	K08467
TRINITY_DN72989_c4_g3	K06560
TRINITY_DN67609_c0_g2	K11851
TRINITY_DN21461_c0_g1	K08187
TRINITY_DN67558_c1_g2	K16457
TRINITY_DN67470_c1_g1	K00551
TRINITY_DN66823_c0_g1	K02151
TRINITY_DN70857_c7_g1	K18152
TRINITY_DN64042_c0_g1	K15437
TRINITY_DN72833_c0_g1	K24734
TRINITY_DN70684_c4_g1	K03035
TRINITY_DN73396_c4_g2	K00030
TRINITY_DN66204_c0_g1	K03106
TRINITY_DN62961_c1_g1	K12035
TRINITY_DN71520_c4_g1	K24627
TRINITY_DN73757_c4_g1	K01640
TRINITY_DN70573_c10_g1	K13119
TRINITY_DN73069_c5_g2	K04571
TRINITY_DN72185_c4_g1	K07936
TRINITY_DN72108_c6_g2	K10308
TRINITY_DN65646_c0_g1	K19041
TRINITY_DN71956_c8_g1	K07305
TRINITY_DN44692_c0_g1	K19755
TRINITY_DN74593_c4_g2	K09602
TRINITY_DN36119_c0_g2	K23398
TRINITY_DN74422_c1_g1	K00815
TRINITY_DN57223_c1_g1	K24827
TRINITY_DN70368_c7_g1	K11801
TRINITY_DN63252_c0_g1	K08818
TRINITY_DN46859_c0_g1	K15106
TRINITY_DN74100_c12_g1	K12474
TRINITY_DN72592_c4_g1	K02583
TRINITY_DN63314_c0_g1	K12739
TRINITY_DN71500_c5_g1	K22610
TRINITY_DN15468_c0_g1	K02874
TRINITY_DN17587_c0_g1	K04874
TRINITY_DN64319_c0_g2	K22825
TRINITY_DN70485_c6_g1	K04373
TRINITY_DN71442_c0_g1	K14397
TRINITY_DN37503_c0_g1	K02832
TRINITY_DN72912_c5_g1	K24810
TRINITY_DN67443_c1_g1	K09502
TRINITY_DN70530_c1_g1	K11519
TRINITY_DN71323_c4_g2	K15285
TRINITY_DN59127_c0_g1	K22399
TRINITY_DN69833_c2_g2	K03033
TRINITY_DN73961_c6_g1	K13578
TRINITY_DN73940_c11_g2	K11857
TRINITY_DN67683_c2_g3	K26226
