TRINITY_DN67144_c1_g4	K22615
TRINITY_DN62480_c0_g1	K07868
TRINITY_DN65007_c7_g1	K16483
TRINITY_DN59577_c1_g2	K17806
TRINITY_DN62921_c2_g1	K12812
TRINITY_DN49054_c0_g1	K04150
TRINITY_DN63152_c1_g1	K04285
TRINITY_DN59567_c1_g1	K15030
TRINITY_DN54985_c0_g1	K04316
TRINITY_DN65057_c0_g1	K24032
TRINITY_DN39201_c0_g1	K10903
TRINITY_DN41480_c0_g1	K12959
TRINITY_DN68230_c12_g1	K13366
TRINITY_DN52662_c0_g1	K04314
TRINITY_DN64221_c0_g1	K06584
TRINITY_DN50099_c0_g1	K24229
TRINITY_DN59424_c1_g1	K04984
TRINITY_DN66419_c3_g1	K09430
TRINITY_DN49397_c0_g1	K19882
TRINITY_DN64425_c2_g1	K20092
TRINITY_DN63002_c1_g1	K10482
TRINITY_DN62345_c1_g2	K18666
TRINITY_DN63555_c0_g2	K06268
TRINITY_DN58781_c1_g1	K15047
TRINITY_DN66615_c12_g4	K00364
TRINITY_DN66973_c7_g5	K21435
TRINITY_DN65573_c2_g1	K12309
TRINITY_DN61686_c1_g2	K24734
TRINITY_DN62614_c0_g1	K24104
TRINITY_DN77167_c0_g1	K11339
TRINITY_DN67326_c5_g1	K15108
TRINITY_DN64625_c1_g1	K07198
TRINITY_DN61736_c1_g1	K00939
TRINITY_DN68649_c5_g3	K12626
TRINITY_DN32254_c0_g1	K03935
TRINITY_DN64692_c1_g1	K17478
TRINITY_DN65721_c0_g1	K02864
TRINITY_DN58598_c0_g1	K10847
TRINITY_DN63958_c0_g1	K11321
TRINITY_DN55999_c0_g1	K14376
TRINITY_DN51150_c0_g1	K10373
TRINITY_DN69465_c5_g1	K25824
TRINITY_DN59630_c1_g1	K22754
TRINITY_DN63579_c1_g1	K05111
TRINITY_DN62771_c0_g1	K14408
TRINITY_DN69674_c5_g1	K22754
TRINITY_DN65232_c1_g1	K08375
TRINITY_DN14027_c0_g1	K17087
TRINITY_DN57879_c0_g1	K19613
TRINITY_DN68939_c5_g1	K14552
TRINITY_DN69664_c5_g2	K05643
TRINITY_DN62266_c3_g1	K08029
TRINITY_DN60082_c1_g2	K24761
TRINITY_DN66575_c6_g1	K04984
TRINITY_DN69030_c4_g1	K16587
TRINITY_DN66955_c3_g1	K17403
